ALS,975,Unknown,06/24
ALW,1367,Concrete,07/25
ALW,1812,Concrete,16/34
ALW,1989,Concrete,02/20
AMA,2408,Concrete,13/31
AMA,4115,Concrete,04/22
AMD,3600,Concrete,05/23
AMH,2800,Asphalt,03/21
AMM,3660,Asphalt,08L/26R
AMM,3660,Concrete,08R/26L
AMQ,2500,Asphalt,04/22
AMS,2014,Asphalt,04/22
AMS,3300,Asphalt,18C/36C
AMS,3400,Asphalt,18L/36R
AMS,3453,Asphalt,09/27
AMS,3500,Asphalt,06/24
AMS,3800,Asphalt,18R/36L
AMV,2600,Concrete,08/26
ANC,3230,Asphalt,07L/25R
ANC,3312,Asphalt,15/33
ANC,3780,Asphalt,07R/25L
ANE,1800,Asphalt,08/26
ANF,2600,Asphalt,01/19
ANG,1810,Asphalt,10/28
ANI,1829,Asphalt,11/29
ANI,914,Water,05/23
ANM,1042,Asphalt,18/36
ANN,1740,Gravel,02/20
ANN,2284,Asphalt,12/30
ANR,1510,Asphalt,11/29
ANS,2500,Asphalt,03/21
ANU,3038,Asphalt,07/25
ANV,1219,Gravel,17/35
ANX,1672,Asphalt,03/21
ANX,2468,Asphalt,14/32
AOE,3000,Asphalt,09/27
AOG,2600,Concrete,02/20
AOI,2962,Asphalt,04/22
AOJ,3001,Asphalt,06/24
AOK,2399,Asphalt,12/30
AOO,1118,Asphalt,12/30
AOO,1666,Asphalt,03/21
AOR,2744,Asphalt,04/22
AOT,1499,Asphalt,09/27
APK,870,Paved,12/30
APL,1565,Gravel,13/31
APL,2000,Asphalt,05/23
APN,1533,Concrete,07/25
APN,2744,Concrete,01/19
APO,2180,Asphalt,15/33
APW,3000,Asphalt,08/26
AQA,1800,Asphalt,17/35
AQG,2800,Concrete,06/24
AQI,3000,Asphalt,16/34
AQJ,3000,Asphalt,01/19
AQP,2960,Asphalt,09/27
ARC,1372,Gravel,02/20
ARD,1800,Asphalt,03/21
ARH,2500,Concrete,08/26
ARI,2170,Asphalt,02/20
ARK,1860,Asphalt,09/27
ARM,1115,Gravel,09/27
ARM,1737,Asphalt,05/23
ARN,2500,Asphalt,01R/19L
ARN,2500,Asphalt,08/26
ARN,3301,Asphalt,01L/19R
ART,1524,Asphalt,10/28
ART,2134,Asphalt,07/25
ARU,2120,Asphalt,5/23
ARW,2000,Concrete,09/27
ARX,1800,Asphalt,09/27
ASA,3515,Asphalt,12/30
ASB,1800,Asphalt,11/29
ASB,3800,Concrete,12L/30R
ASB,3800,Concrete,12R/30L
ASE,2440,Asphalt,15/33
ASF,1551,Unknown,11/29
ASF,2500,Concrete,09/27
ASJ,2000,Asphalt,03/21
ASM,1813,Asphalt,12/30
ASM,3000,Asphalt,07/25
ASO,1950,Asphalt,11/29
ASP,1133,Asphalt,17/35
ASP,2438,Asphalt,12/30
ASR,3000,Concrete,07/25
ASU,3351,Asphalt,02/20
ASV,1180,Asphalt,08/26
ASW,3402,Asphalt,17/35
ATB,1800,Dirt,01/19
ATC,2138,Asphalt,12/30
ATD,737,Grass,06/24
ATH,3800,Asphalt,03L/21R
ATH,4000,Asphalt,03R/21L
ATL,2743,Concrete,08L/26R
ATL,2743,Concrete,09R/27L
ATL,2743,Concrete,10/28
ATL,3048,Concrete,08R/26L
ATL,3779,Concrete,09L/27R
ATM,2003,Asphalt,07/25
ATP,844,Grass,16/34
ATQ,3657,Asphalt,16/34
ATT,914,Gravel,15/33
ATY,2100,Concrete,17/35
ATY,2102,Concrete,12/30
ATZ,3020,Asphalt,13/31
AUA,2743,Asphalt,11/29
AUC,2100,Asphalt,11/29
AUG,1524,Asphalt,17/35
AUG,824,Asphalt,08/26
AUH,4100,Asphalt,13L/31R
AUH,4100,Asphalt,13R/31L
AUL,640,Grass,05/23
AUQ,1600,Asphalt,02/20
AUR,1700,Asphalt,15/33
AUS,2743,Concrete,17L/35R
AUS,3734,Concrete,17R/35L
AUU,1260,Sealed,16/34
AUX,1804,Asphalt,09/27
AUY,610,Grass,05/23
AVI,3532,Asphalt,07/25
AVK,2500,Gravel,14/32
AVL,2438,Asphalt,16/34
AVN,1880,Asphalt,17/35
AVN,250,Grass,17L/35R
AVN,700,Grass,17R/35L
AVP,1310,Asphalt,10/28
AVP,2286,Asphalt,04/22
AVV,3048,Asphalt,18/36
AWB,705,Gravel,18/36
AWD,940,Grass,18/36
AWZ,3398,Asphalt,12/30
AXA,1665,Asphalt,10/28
AXD,2581,Asphalt,07/25
AXF,2400,Concrete,14/32
AXJ,1000,Asphalt,13/31
AXM,2500,Asphalt,02/20
